utilization_gpu,memory_used,memory_total,time,
2 , 9961 ,11264 , 1.11,
0 , 9961 ,11264 , 2.16,
0 , 9961 ,11264 , 3.21,
0 , 9961 ,11264 , 4.27,
0 , 9961 ,11264 , 5.32,
0 , 9961 ,11264 , 6.39,
2 , 10253 ,11264 , 7.45,
26 , 10367 ,11264 , 8.51,
10 , 10367 ,11264 , 9.58,
6 , 10367 ,11264 , 10.66,
6 , 10367 ,11264 , 11.73,
7 , 10367 ,11264 , 12.8,
7 , 10367 ,11264 , 13.88,
7 , 10367 ,11264 , 14.96,
7 , 10367 ,11264 , 16.03,
7 , 10367 ,11264 , 17.1,
6 , 10367 ,11264 , 18.17,
7 , 10367 ,11264 , 19.24,
7 , 10367 ,11264 , 20.32,
7 , 10367 ,11264 , 21.39,
7 , 10367 ,11264 , 22.46,
7 , 10367 ,11264 , 23.53,
6 , 10367 ,11264 , 24.6,
7 , 10367 ,11264 , 25.67,
7 , 10367 ,11264 , 26.74,
7 , 10367 ,11264 , 27.81,
7 , 10367 ,11264 , 28.89,
7 , 10367 ,11264 , 29.96,
7 , 10367 ,11264 , 31.03,
7 , 10367 ,11264 , 32.1,
7 , 10367 ,11264 , 33.18,
6 , 10367 ,11264 , 34.25,
7 , 10367 ,11264 , 35.32,
7 , 10367 ,11264 , 36.4,
7 , 10367 ,11264 , 37.48,
7 , 10367 ,11264 , 38.56,
6 , 10367 ,11264 , 39.63,
6 , 10367 ,11264 , 40.71,
7 , 10367 ,11264 , 41.79,
7 , 10367 ,11264 , 42.87,
7 , 10367 ,11264 , 43.95,
7 , 10367 ,11264 , 45.02,
6 , 10367 ,11264 , 46.1,
7 , 10367 ,11264 , 47.18,
6 , 10367 ,11264 , 48.26,
5 , 10367 ,11264 , 49.33,
6 , 10367 ,11264 , 50.41,
6 , 10367 ,11264 , 51.49,
7 , 10367 ,11264 , 52.57,
7 , 10367 ,11264 , 53.65,
7 , 10367 ,11264 , 54.73,
7 , 10367 ,11264 , 55.81,
7 , 10367 ,11264 , 56.89,
7 , 10367 ,11264 , 57.96,
7 , 10367 ,11264 , 59.04,
7 , 10367 ,11264 , 60.12,
6 , 10367 ,11264 , 61.2,
7 , 10367 ,11264 , 62.28,
7 , 10367 ,11264 , 63.36,
7 , 10367 ,11264 , 64.44,
