utilization_gpu,memory_used,memory_total,time,
0 , 47141 ,49140 , 1.09,
0 , 47141 ,49140 , 2.15,
0 , 47141 ,49140 , 3.2,
0 , 47141 ,49140 , 4.25,
4 , 47257 ,49140 , 5.31,
6 , 47665 ,49140 , 6.4,
6 , 47703 ,49140 , 7.47,
5 , 47703 ,49140 , 8.55,
5 , 47703 ,49140 , 9.63,
6 , 47703 ,49140 , 10.71,
5 , 47703 ,49140 , 11.79,
6 , 47703 ,49140 , 12.87,
4 , 47703 ,49140 , 13.96,
6 , 47703 ,49140 , 15.04,
7 , 47703 ,49140 , 16.12,
6 , 47703 ,49140 , 17.19,
5 , 47703 ,49140 , 18.27,
4 , 47703 ,49140 , 19.36,
6 , 47703 ,49140 , 20.44,
6 , 47703 ,49140 , 21.53,
5 , 47703 ,49140 , 22.6,
6 , 47703 ,49140 , 23.69,
5 , 47703 ,49140 , 24.77,
5 , 47703 ,49140 , 25.85,
6 , 47703 ,49140 , 26.92,
6 , 47703 ,49140 , 28.0,
6 , 47703 ,49140 , 29.08,
4 , 47703 ,49140 , 30.17,
6 , 47703 ,49140 , 31.25,
6 , 47703 ,49140 , 32.33,
5 , 47703 ,49140 , 33.42,
5 , 47703 ,49140 , 34.5,
5 , 47703 ,49140 , 35.58,
6 , 47703 ,49140 , 36.68,
4 , 47703 ,49140 , 37.76,
6 , 47703 ,49140 , 38.86,
4 , 47703 ,49140 , 39.94,
6 , 47703 ,49140 , 41.04,
7 , 47703 ,49140 , 42.12,
6 , 47703 ,49140 , 43.21,
